Campaign,Campaign Type,Campaign Daily Budget,Bid Strategy Type,Campaign Status,Ad Group,Max CPC,Ad Group Status,Keyword,Criterion Type,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status
LE | Search | Solar FV | Valledupar,,,,,Paneles Solares | Residencial,,,,,Responsive search ad,Paneles Solares Valledupar,Energía Solar en Valledupar,Baja tu Factura de Energía,Instalación Certificada RETIE,Cotiza Gratis en 24 Horas,Ahorra Hasta 70% de Energía,Ingenieros de Valledupar,Paneles Solares para Casa,Garantía de 25 Años,Visita Técnica Sin Costo,Consultora LE SAS,Adiós a los Recibos Altos,Diseño Hecho a tu Medida,Trámite ante Afinia Incluido,Financiación Disponible,Diseñamos e instalamos tu sistema solar en Valledupar. Ahorro real desde el primer mes.,"Equipos certificados RETIE, ingeniería propia y garantía de 25 años. Cotiza sin costo.",Nos encargamos del trámite ante Afinia y de los beneficios de la Ley 1715.,Somos de Valledupar y conocemos el sol del Cesar. Agenda tu visita técnica hoy.,solar,valledupar,https://www.consultora-le.com/paneles-solares-valledupar,Enabled
LE | Search | Solar FV | Valledupar,,,,,Solar | Empresas e Industria,6000,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
LE | Search | Solar FV | Valledupar,,,,,Solar | Empresas e Industria,,,paneles solares para empresas,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Solar FV | Valledupar,,,,,Solar | Empresas e Industria,,,energia solar para industria,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Solar FV | Valledupar,,,,,Solar | Empresas e Industria,,,sistema solar fotovoltaico industrial,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Solar FV | Valledupar,,,,,Solar | Empresas e Industria,,,paneles solares comerciales colombia,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Solar FV | Valledupar,,,,,Solar | Empresas e Industria,,,autogeneracion solar para empresas,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Solar FV | Valledupar,,,,,Solar | Empresas e Industria,,,proyectos solares llave en mano,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Solar FV | Valledupar,,,,,Solar | Empresas e Industria,,,energia solar para hoteles,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Solar FV | Valledupar,,,,,Solar | Empresas e Industria,,,,,Responsive search ad,Solar para tu Empresa,Energía Solar Industrial,Proyectos Llave en Mano,Baja el Costo de Operación,Ingeniería y Montaje RETIE,Estudio de Factibilidad,Deducción de Renta 50%,Ley 1715: Menos Impuestos,Solar para Hoteles y Clínicas,Consultora LE SAS,Retorno en 3 a 5 Años,Trámite AGPE Incluido,Cotiza tu Proyecto Hoy,Auditoría Previa Gratuita,Respaldo con Baterías,Reduce el costo energético de tu operación con un sistema solar diseñado a la medida.,"Ingeniería de detalle, RETIE y trámite ante el operador de red. Todo en un solo proveedor.",Accede a la deducción de renta y la exclusión de IVA de la Ley 1715. Te guiamos.,Auditoría energética previa sin costo para dimensionar bien tu inversión.,solar,empresas,https://www.consultora-le.com/energia-solar-empresas,Enabled
LE | Search | Solar FV | Valledupar,,,,,Ahorro | Factura de Energía,3000,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
LE | Search | Solar FV | Valledupar,,,,,Ahorro | Factura de Energía,,,ahorrar energia con paneles solares,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Solar FV | Valledupar,,,,,Ahorro | Factura de Energía,,,como bajar la factura de energia,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Solar FV | Valledupar,,,,,Ahorro | Factura de Energía,,,reducir el costo de energia de mi empresa,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Solar FV | Valledupar,,,,,Ahorro | Factura de Energía,,,factura de energia muy alta,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Solar FV | Valledupar,,,,,Ahorro | Factura de Energía,,,por que llego tan cara la luz,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Solar FV | Valledupar,,,,,Ahorro | Factura de Energía,,,,,Responsive search ad,¿Factura de Luz por las Nubes?,Baja tu Recibo de Energía,Paga Menos Luz Cada Mes,La Solución es el Sol,Ahorra Hasta 70% de Energía,Calcula tu Ahorro Gratis,Paneles Solares Valledupar,Consultora LE SAS,Sin Cuotas Sorpresa,Te Explicamos tu Factura,Diagnóstico Sin Costo,Ingenieros de Valledupar,Energía Solar para tu Casa,Cotización Clara y Simple,Sin Letra Menuda,"Si tu factura no baja, el problema no es el clima: es tu consumo. Te lo diagnosticamos.",Con energía solar tu recibo baja desde el primer mes y el sistema se paga solo.,Analizamos tu factura gratis y te decimos cuánto puedes ahorrar en tu caso.,Somos de Valledupar. Visita técnica sin costo y cotización clara en 24 horas.,ahorro,energia,https://www.consultora-le.com/paneles-solares-valledupar,Enabled
LE | Search | Bombeo Solar | Agro Cesar,Search,10000,Maximize conversions,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE | Search | Bombeo Solar | Agro Cesar,,,,,Bombeo Solar | Pozo Profundo,5000,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
LE | Search | Bombeo Solar | Agro Cesar,,,,,Bombeo Solar | Pozo Profundo,,,bombeo solar,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Bombeo Solar | Agro Cesar,,,,,Bombeo Solar | Pozo Profundo,,,bomba solar para pozo profundo,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Bombeo Solar | Agro Cesar,,,,,Bombeo Solar | Pozo Profundo,,,bomba sumergible solar precio,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Bombeo Solar | Agro Cesar,,,,,Bombeo Solar | Pozo Profundo,,,sistema de bombeo solar colombia,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Bombeo Solar | Agro Cesar,,,,,Bombeo Solar | Pozo Profundo,,,bomba de agua con paneles solares,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Bombeo Solar | Agro Cesar,,,,,Bombeo Solar | Pozo Profundo,,,bombeo solar cesar,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Bombeo Solar | Agro Cesar,,,,,Bombeo Solar | Pozo Profundo,,,,,Responsive search ad,Bombeo Solar para tu Finca,Agua Sin Pagar Energía,Bomba Solar Pozo Profundo,Dimensionamiento Gratuito,"Sin Diésel, Sin Recibo",Instalación en el Cesar,Consultora LE SAS,Equipos con Garantía,Cotiza en 24 Horas,Visita a tu Finca,Ingenieros de Valledupar,Caudal Calculado a Medida,"Riego, Ganado y Consumo",Energía Donde No Hay Red,Olvídate del Combustible,Saca agua todo el día sin gastar un peso en diésel ni en energía de la red.,"Calculamos caudal, altura y paneles según tu pozo. Dimensionamiento sin costo.",Equipos con garantía e instalación en fincas de Cesar y La Guajira.,"Vamos hasta tu finca, medimos y te entregamos la cotización en 24 horas.",bombeo,solar,https://www.consultora-le.com/bombeo-solar,Enabled
LE | Search | Bombeo Solar | Agro Cesar,,,,,Riego Solar | Finca y Ganadería,4000,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
LE | Search | Bombeo Solar | Agro Cesar,,,,,Riego Solar | Finca y Ganadería,,,riego solar finca,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Bombeo Solar | Agro Cesar,,,,,Riego Solar | Finca y Ganadería,,,energia solar para fincas,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Bombeo Solar | Agro Cesar,,,,,Riego Solar | Finca y Ganadería,,,bombeo solar para ganaderia,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Bombeo Solar | Agro Cesar,,,,,Riego Solar | Finca y Ganadería,,,sistema de riego con energia solar,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Bombeo Solar | Agro Cesar,,,,,Riego Solar | Finca y Ganadería,,,energia solar para agro colombia,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Bombeo Solar | Agro Cesar,,,,,Riego Solar | Finca y Ganadería,,,,,Responsive search ad,Riego Solar para tu Finca,Agua para el Ganado,Energía Solar en el Campo,Sin Red Eléctrica Cercana,Bombeo y Riego Solar,Visita Técnica Sin Costo,Consultora LE SAS,Instalación en el Cesar,Cotiza tu Proyecto Hoy,Ingenieros de Valledupar,Bombeo Solar para Agro,Agua Todo el Día con Sol,Sin Recibo de Energía,Proyectos en La Guajira,Cotiza en 24 Horas,Riega y abreva sin depender de la red ni del diésel. Energía solar para tu finca.,"Diseñamos el sistema según tu caudal, tus hectáreas y tu fuente de agua.",Llevamos energía donde no llega la red. Proyectos en Cesar y La Guajira.,"Visita técnica sin costo y cotización clara, sin letra menuda.",riego,solar,https://www.consultora-le.com/bombeo-solar,Enabled
LE | Search | Marca,Search,2000,Maximize clicks,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE | Search | Marca,,,,,Marca | LE SAS,1200,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
LE | Search | Marca,,,,,Marca | LE SAS,,,consultora le sas,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Marca,,,,,Marca | LE SAS,,,consultora de eficiencia energetica le,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Marca,,,,,Marca | LE SAS,,,consultora le valledupar,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Marca,,,,,Marca | LE SAS,,,consultora le energia,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Marca,,,,,Marca | LE SAS,,,,,Responsive search ad,Consultora LE SAS | Oficial,Eficiencia Energética LE,Sitio Oficial de LE SAS,Energía Solar Valledupar,Contáctanos Directamente,Auditorías y Solar FV,Ingenieros de Valledupar,Cotiza Sin Compromiso,Consultora LE SAS,Soluciones Energéticas LE,Bombeo Solar y Auditorías,Habla con el Ingeniero,Atención Directa,"Sede en Valledupar, Cesar",Visita Técnica Sin Costo,"Sitio oficial de Consultora de Eficiencia Energética LE SAS, Valledupar, Cesar.","Energía solar, bombeo, climatización y auditorías energéticas. Habla con nosotros.","Atención directa con el ingeniero, sin intermediarios ni call center.",,consultora,le,https://www.consultora-le.com/,Enabled
LE | Search | Climatización y Nebulización,Search,8000,Maximize conversions,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE | Search | Climatización y Nebulización,,,,,Nebulización | Exteriores,3500,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
LE | Search | Climatización y Nebulización,,,,,Nebulización | Exteriores,,,sistema de nebulizacion,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Climatización y Nebulización,,,,,Nebulización | Exteriores,,,nebulizacion para exteriores,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Climatización y Nebulización,,,,,Nebulización | Exteriores,,,nebulizadores para terrazas precio,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Climatización y Nebulización,,,,,Nebulización | Exteriores,,,climatizacion evaporativa colombia,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Climatización y Nebulización,,,,,Nebulización | Exteriores,,,como refrescar una terraza,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Climatización y Nebulización,,,,,Nebulización | Exteriores,,,nebulizacion valledupar,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Climatización y Nebulización,,,,,Nebulización | Exteriores,,,,,Responsive search ad,Nebulización para Terrazas,Baja 10°C tu Terraza,Fresco sin Aire Acondicionado,Ideal para Bares y Fincas,Instalación en Valledupar,Cotiza por Metro Lineal,Consultora LE SAS,"No Moja, Solo Refresca",Visita Técnica Sin Costo,Bajo Consumo de Energía,Nebulización Valledupar,Refresca Bares y Kioscos,"Sin Obra, Instalación Ágil",Menos Calor en tu Negocio,Ingenieros de Valledupar,Sistemas de nebulización que bajan la sensación térmica sin mojar a nadie.,"Perfecto para terrazas, bares, kioscos y zonas de finca. Instalación en Valledupar.",Consumo bajísimo comparado con aire acondicionado en espacios abiertos.,"Te cotizamos por metro lineal, con visita técnica sin costo.",nebulizacion,terrazas,https://www.consultora-le.com/nebulizacion-climatizacion,Enabled
LE | Search | Climatización y Nebulización,,,,,Climatización | Bodegas e Industria,4500,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
LE | Search | Climatización y Nebulización,,,,,Climatización | Bodegas e Industria,,,aire acondicionado industrial,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Climatización y Nebulización,,,,,Climatización | Bodegas e Industria,,,enfriamiento para bodegas,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Climatización y Nebulización,,,,,Climatización | Bodegas e Industria,,,ventilacion industrial valledupar,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Climatización y Nebulización,,,,,Climatización | Bodegas e Industria,,,climatizacion para galpones,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Climatización y Nebulización,,,,,Climatización | Bodegas e Industria,,,enfriadores evaporativos industriales,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Climatización y Nebulización,,,,,Climatización | Bodegas e Industria,,,,,Responsive search ad,Climatización Industrial,Enfría tu Bodega o Galpón,"Menos Calor, Más Producción",Ventilación y Evaporativos,Estudio Térmico Incluido,Consultora LE SAS,Instalación en el Cesar,Cotiza tu Proyecto Hoy,Ingenieros de Valledupar,Bajo Costo de Operación,Enfriamiento Evaporativo,Baja el Calor de tu Planta,Ventilación para Bodegas,Diagnóstico Térmico Gratis,Solución a la Medida,Bajamos la temperatura de bodegas y galpones sin disparar el costo de energía.,"Hacemos el estudio térmico y te proponemos ventilación, evaporativo o mixto.",El calor le cuesta productividad a tu planta. Lo medimos y lo corregimos.,Proyectos industriales en Valledupar y todo el Cesar. Visita técnica sin costo.,climatizacion,industrial,https://www.consultora-le.com/nebulizacion-climatizacion,Enabled
LE | Search | Auditoría y Ley 1715,Search,6000,Maximize conversions,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE | Search | Auditoría y Ley 1715,,,,,Auditoría Energética,6000,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
LE | Search | Auditoría y Ley 1715,,,,,Auditoría Energética,,,auditoria energetica,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Auditoría y Ley 1715,,,,,Auditoría Energética,,,auditoria energetica empresas,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Auditoría y Ley 1715,,,,,Auditoría Energética,,,consultoria en eficiencia energetica,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Auditoría y Ley 1715,,,,,Auditoría Energética,,,diagnostico energetico industrial,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Auditoría y Ley 1715,,,,,Auditoría Energética,,,auditoria energetica colombia,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Auditoría y Ley 1715,,,,,Auditoría Energética,,,,,Responsive search ad,Auditoría Energética,Sabe Dónde se Va tu Plata,Diagnóstico Energético,"Medimos, No Adivinamos",Informe con Plan de Acción,Consultora LE SAS,Para Industria y Comercio,Ingenieros de Valledupar,Agenda tu Auditoría,Ahorro Medible y Real,Eficiencia Energética,Baja tu Costo de Energía,Auditoría en Valledupar,"Antes de Invertir, Mide",Informe Técnico Completo,Medimos tu consumo real y te decimos exactamente dónde se está yendo la energía.,"Entregamos informe con medidas priorizadas por retorno de inversión, no por moda.","Para industria, hoteles, clínicas y comercio en Valledupar y el Cesar.","Primero medimos, después proponemos. Así el ahorro es real y comprobable.",auditoria,energetica,https://www.consultora-le.com/auditoria-energetica,Enabled
LE | Search | Auditoría y Ley 1715,,,,,Ley 1715 | Incentivos Tributarios,5000,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
LE | Search | Auditoría y Ley 1715,,,,,Ley 1715 | Incentivos Tributarios,,,ley 1715 beneficios tributarios,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Auditoría y Ley 1715,,,,,Ley 1715 | Incentivos Tributarios,,,deduccion de renta energia renovable,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Auditoría y Ley 1715,,,,,Ley 1715 | Incentivos Tributarios,,,incentivos tributarios energia solar colombia,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Auditoría y Ley 1715,,,,,Ley 1715 | Incentivos Tributarios,,,tramite upme energia solar,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Auditoría y Ley 1715,,,,,Ley 1715 | Incentivos Tributarios,,,exclusion de iva paneles solares,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
LE | Search | Auditoría y Ley 1715,,,,,Ley 1715 | Incentivos Tributarios,,,,,Responsive search ad,Ley 1715: Paga Menos Renta,Incentivos Energía Solar,Deducción de Renta del 50%,Exclusión de IVA y Arancel,Trámite UPME Incluido,Consultora LE SAS,Te Armamos el Radicado,Asesoría Sin Costo,Ingenieros de Valledupar,Depreciación Acelerada,Incentivos Ley 1715,Beneficios Tributarios,Mejora el Retorno del Plan,Energía Solar y Renta,Radicamos por Ti,"La Ley 1715 te deja deducir renta, excluir IVA y acelerar depreciación. Te explicamos.",Armamos y radicamos tu solicitud ante la UPME con la lista de bienes y servicios.,No dejes los incentivos sobre la mesa: bien usados cambian el retorno del proyecto.,Primera asesoría sin costo para ver si tu proyecto clasifica.,ley-1715,incentivos,https://www.consultora-le.com/ley-1715-incentivos,Enabled
